movie_id,primary_title,runtime_minutes,genres,averagerating,numvotes
tt1766044,Poslednyaya skazka Rity,100.0,"Drama,Fantasy,Mystery",7.0,468
tt1770757,The Perfect Companion,78.0,"Comedy,Horror,Romance",4.2,8
tt1772275,Ghost Stories 4,48.0,"Documentary,Horror",3.6,7
tt1773528,La lucha de San Borja,,Documentary,7.8,9
tt1773607,Operation: Get Rid of Pinky,93.0,Comedy,7.7,19
tt1773790,Tony & Janina's American Wedding,83.0,Documentary,6.0,8
tt1776201,Hawi,112.0,Drama,5.3,427
tt1779471,"Russland - Im Reich der Tiger, Bären und Vulkane",91.0,Documentary,7.8,156
tt1780934,Omerta,86.0,"Crime,Drama,Thriller",7.8,10
tt1782562,Vorobey,90.0,"Drama,Family",6.7,14
tt1783311,Kagit,105.0,Drama,6.1,799
tt1783377,Sri Rama Rajyam,172.0,"Drama,Fantasy",7.0,848
tt1783384,Battery Man,54.0,"Biography,Documentary,Drama",6.8,37
tt1783392,The Odds,92.0,"Crime,Mystery",5.0,447
tt1783393,The Real American: Joe McCarthy,95.0,"Biography,Documentary,Drama",7.0,87
tt1785525,Pretruniga vesture,65.0,Documentary,7.9,9
tt1786411,"Basquiat, Une Vie",,Documentary,6.9,16
tt1786652,Rockin' the Wall,84.0,"Documentary,History,Music",8.0,27
tt1787047,Aku tak bodoh,95.0,Comedy,5.8,19
tt1787741,King of the Game,120.0,Action,4.2,12
tt1787777,Page One: Inside the New York Times,92.0,Documentary,6.9,3159
tt1789077,The Space Between,85.0,"Drama,Romance",6.5,17
tt1791681,Treehouse,96.0,"Horror,Mystery,Thriller",3.9,1890
tt1792647,Cirque du Soleil: Worlds Away,91.0,Fantasy,6.8,7643
tt1792801,Demons and Doors,85.0,"Drama,Thriller",5.9,18
tt1793223,Free Samples,80.0,"Comedy,Drama",5.6,1969
tt1793290,The Sentinel's Flight,53.0,Drama,6.5,6
tt1793296,Wes and Ella,85.0,Drama,6.1,8
tt1796580,Orr Eravuu,,"Horror,Mystery,Thriller",7.5,42
tt1796652,Tokyo Family,146.0,Drama,7.5,1503
tt1797449,My First Wedding,102.0,"Comedy,Romance",6.1,878
tt1798162,Kafka's Last Story,62.0,"Documentary,History,Mystery",6.3,16
tt1798164,Heart Breaks Open,81.0,Drama,5.4,27
tt1801512,Ich bin eine Terroristin,97.0,"Comedy,Family",6.2,6
tt1802827,The Way He Makes Them Feel: A Michael Jackson Fan Documentary,75.0,"Documentary,Music",8.9,19
tt1808197,Incir Reçeli,94.0,"Drama,Romance",6.5,10445
tt1808208,How to Get Rid of Cellulite,106.0,Comedy,4.0,425
tt1810756,Sick and Sicker,50.0,"Documentary,News",4.4,10
tt1813152,Amateur Night,83.0,"Documentary,History",8.6,7
tt1814768,Lena will es endlich wissen,,"Comedy,Drama",7.6,16
tt1815605,Baryllis Baked Beans,90.0,"Comedy,Romance",4.3,9
tt1815707,Frankie in Blunderland,82.0,Fantasy,6.9,65
tt1815836,Moy papa Baryshnikov,87.0,"Comedy,Drama",6.9,240
tt1817711,Kaland,,"Drama,Romance",6.3,56
tt0758752,Love & Other Drugs,112.0,"Comedy,Drama,Romance",6.7,167680
tt0775461,The Rain Fairy,100.0,"Family,Fantasy",5.4,70
tt0800054,The Guardians,88.0,"Comedy,Family",7.8,68
tt0800092,Ironmen,119.0,"Biography,Drama",4.3,6
tt0816362,Card Subject to Change,87.0,Documentary,6.7,223
tt0825282,The Long Falling,105.0,Drama,6.5,121
tt0960864,"Truth in Numbers? Everything, According to Wikipedia",85.0,Documentary,7.0,109
tt0978812,Have You Heard from Johannesburg: Free at Last,78.0,Documentary,6.4,9
tt0979434,Lottery Ticket,99.0,Comedy,5.0,10042
tt0985694,Machete,105.0,"Action,Crime,Thriller",6.6,182320
tt10062286,Lustrum,90.0,Documentary,5.9,14
tt10075374,The Little Prince,93.0,Action,8.3,6
tt10174464,Senses 3&4,85.0,Drama,7.3,7
tt10243678,Chopsticks,100.0,"Comedy,Drama",6.5,1394
tt10254986,Q Ball,96.0,Documentary,7.0,15
tt6494520,"Geceyarisi, Türkiye zamani",62.0,"Crime,Drama",4.3,12
tt6500762,Loi nguyen huyet ngai,90.0,Horror,6.0,25
tt6505826,J Revolusi,,Action,5.5,130
tt6506146,The 3rd Eye,108.0,"Horror,Thriller",5.0,670
tt6522546,Spyder,155.0,"Action,Thriller",6.8,7930
tt6523386,Mules,,Documentary,6.9,117
tt6547822,Bloody Murder,70.0,Thriller,3.7,26
tt6555772,Tatlim Tatlim,95.0,"Comedy,Romance",5.8,1826
tt6558114,The BBQ,91.0,Comedy,4.8,221
tt6579530,Bigfoot at Millcreek,81.0,"Horror,Mystery,Thriller",4.8,28
tt6582734,A Place to Be,113.0,"Comedy,Drama,Romance",6.4,68
tt6589292,Mustang Island,86.0,Comedy,6.0,246
tt6590978,Daddy's Daughter,97.0,Drama,8.0,36
tt6594022,Genco,80.0,"Drama,Fantasy",3.9,94
tt6594148,Seed,79.0,Documentary,5.4,31
tt6597044,Gora,,Drama,6.2,6
tt6599256,Shadow of Truth,107.0,"Crime,Documentary,Mystery",8.3,116
tt6612178,Converso,61.0,Documentary,7.9,35
tt6634906,Gekijouban soushuuhen Ôbârôdo: Fushisha no ou,,Animation,7.6,14
tt6636878,Tu pug imatuy,90.0,Drama,7.9,9
tt6677500,Ask Uykusu,,Drama,4.5,223
tt6679412,Forgive Us Our Debts,104.0,Drama,6.2,959
tt6688136,Expedition Happiness,95.0,Documentary,5.9,2615
tt6704014,Babu Baga Busy,126.0,Comedy,6.6,83
tt6705988,The Tattooist,47.0,Documentary,8.1,16
tt6710772,Counterfeiters,73.0,Drama,7.4,50
tt6712026,Kavan,150.0,"Action,Thriller",7.1,1598
tt6720674,Tale of the Lost Boys,91.0,Drama,6.5,27
tt6725484,Can't Help Falling in Love,119.0,Romance,7.1,590
tt6730644,Jhumkee,,Thriller,6.5,8
tt6731592,"Piazzolla, the Years of the Shark",90.0,Documentary,7.9,95
tt6737494,Writing Home,91.0,"Comedy,Romance",8.9,23
tt6742252,The Guilty,85.0,"Crime,Drama,Thriller",7.5,25267
tt6745192,Cool As Hell 2,,Comedy,6.8,12
tt6749456,Gyerunk Gyerekek: A Válogatott úTja Az Elitbe,55.0,Documentary,8.9,12
tt6750506,Siam Square,,Horror,5.9,119
tt6751046,Sultana Bibiana,122.0,"Drama,Romance",7.6,18
tt6764122,Ramen Heads,93.0,Documentary,7.1,308
tt6769280,Time Freak,104.0,"Comedy,Drama,Romance",5.7,3455
tt6778706,Jill and Bobby,55.0,Comedy,7.9,11
tt6780706,We Are EC: The Untold Story of East Chicago Basketball,100.0,Documentary,9.4,18
tt6806804,"Those Who Come, Will Hear",77.0,Documentary,7.6,7
tt6808782,Playtime,70.0,Drama,5.9,12
tt6828530,Donaire y Esplendor,96.0,Comedy,6.3,132
tt6831278,Until First Light,82.0,Drama,7.0,5
tt6844416,Corralón,95.0,"Drama,Thriller",6.4,7
tt6845800,Supermen: World War,,Action,8.2,9
tt6850078,The Road Forward,,Documentary,9.2,18
tt6854248,Perfect Bid: The Contestant Who Knew Too Much,72.0,"Documentary,History",6.6,1454
tt6857040,The Appearance,111.0,"Horror,Thriller",4.6,731
tt6857298,Frightening Embroidery Shoes,89.0,"Drama,Horror,Mystery",5.2,5
tt6858020,Au bout des doigts,105.0,"Drama,Romance",6.1,308
tt6866652,The Plan,83.0,Horror,3.3,34
tt6867356,One Angry Vegan,49.0,Documentary,9.1,9
tt6870220,The Faces of Lafora,88.0,"Documentary,Drama",8.6,5
tt6871240,Bartok,70.0,Biography,8.2,5
tt6888762,Surprise,68.0,"Horror,Mystery,Thriller",7.9,10
tt6892088,18 Hours,70.0,"Drama,Thriller",7.8,10
